protein_per_100g,sugar_per_100g,fat_per_100g,fiber_per_100g,calories_per_100g,sodium_per_100g,has_artificial_sweetener,has_preservatives,has_trans_fat,ingredient_risk_count,category,health_score,risk_labels
0.7,1.9,0.3,0.5,14.0,57.5,0,0,0,0,BEVERAGES,75,LOW_FIBER
0.4,11.2,0.0,0.0,63.2,273.6,1,1,0,4,ENERGY_DRINKS,12,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
27.6,6.2,11.0,8.3,317.6,313.3,0,1,0,1,PROTEIN_BAR,79,PRESERVATIVES
0.7,1.2,0.0,0.0,19.1,70.6,0,0,0,1,ENERGY_DRINKS,73,LOW_FIBER
13.5,3.6,6.3,5.6,365.4,511.0,0,0,0,1,INSTANT_NOODLES_RTE,86,NONE
33.5,7.4,9.4,8.4,327.9,317.8,0,1,0,1,PROTEIN_BAR,83,PRESERVATIVES
0.3,10.5,0.1,0.0,55.2,51.8,0,1,0,2,BEVERAGES,29,"PRESERVATIVES,LOW_FIBER"
11.8,9.8,5.9,9.6,371.4,159.3,0,0,0,0,BREAKFAST_CEREAL,83,NONE
6.7,8.0,16.5,2.6,470.5,609.1,0,1,1,3,SNACKS,26,"TRANS_FAT,PRESERVATIVES,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
0.2,12.1,0.3,0.0,61.6,96.0,1,1,0,2,BEVERAGES,21,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
9.7,24.2,23.8,4.0,495.3,432.3,1,1,1,5,PROTEIN_BAR,0,"HIGH_SUGAR,HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
4.3,37.3,28.7,1.8,522.2,143.0,0,0,0,1,CHOCOLATES_CONFECTIONERY,38,"HIGH_SUGAR,HIGH_FAT,LOW_FIBER,HIGH_CALORIE"
0.3,6.5,0.3,0.4,27.7,156.3,0,0,0,1,BEVERAGES,55,LOW_FIBER
5.4,15.8,15.0,2.9,439.7,267.7,0,0,1,3,BISCUITS_COOKIES,28,"TRANS_FAT,MANY_RISKY_INGREDIENTS"
7.2,6.7,12.6,1.5,318.4,751.7,1,0,0,3,FROZEN_FOODS,43,"ARTIFICIAL_SWEETENER,LOW_FIBER,MANY_RISKY_INGREDIENTS"
0.3,9.1,0.3,0.5,34.1,176.3,0,0,0,2,BEVERAGES,39,LOW_FIBER
0.1,2.9,0.0,0.0,15.7,56.2,0,0,0,1,ENERGY_DRINKS,66,LOW_FIBER
3.3,15.3,21.7,3.5,464.8,352.2,0,0,0,2,BISCUITS_COOKIES,30,"HIGH_FAT,HIGH_CALORIE"
0.3,11.7,0.5,0.0,53.9,172.3,1,0,0,4,BEVERAGES,22,"ARTIFICIAL_SWEETENER,LOW_FIBER,MANY_RISKY_INGREDIENTS"
8.1,15.9,15.9,3.2,478.8,42.3,0,0,0,1,CHOCOLATES_CONFECTIONERY,74,HIGH_CALORIE
1.6,25.2,23.6,0.3,285.8,1464.4,1,1,0,4,SAUCES_SPREADS,0,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
2.1,16.8,14.2,0.9,293.3,846.9,1,1,0,2,SAUCES_SPREADS,28,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM"
5.6,20.1,10.7,7.8,402.8,395.4,0,0,0,1,BREAKFAST_CEREAL,55,HIGH_SUGAR
12.3,7.4,5.9,10.7,370.4,185.2,0,0,0,0,BREAKFAST_CEREAL,91,NONE
0.7,1.9,0.0,0.0,18.2,160.3,0,0,0,0,ENERGY_DRINKS,75,LOW_FIBER
4.3,5.8,22.0,1.5,438.9,1200.0,1,1,0,3,INSTANT_NOODLES_RTE,14,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
0.4,10.5,0.0,0.0,67.6,301.1,1,1,0,4,ENERGY_DRINKS,12,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
3.0,24.1,15.6,2.0,477.5,487.7,0,1,0,3,BISCUITS_COOKIES,14,"HIGH_SUGAR,PRESERVATIVES,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
8.4,7.0,16.3,3.4,238.2,648.3,0,1,0,3,FROZEN_FOODS,54,"PRESERVATIVES,MANY_RISKY_INGREDIENTS"
59.1,9.8,10.9,4.5,408.7,327.8,0,0,0,2,HEALTH_SUPPLEMENTS,73,NONE
3.1,3.4,5.5,1.7,182.1,271.0,0,1,0,0,SAUCES_SPREADS,72,"PRESERVATIVES,LOW_FIBER"
6.5,6.4,17.0,3.1,454.9,532.6,0,0,0,2,SNACKS,55,HIGH_CALORIE
1.5,32.3,26.9,0.3,308.5,1080.2,1,0,0,2,SAUCES_SPREADS,3,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,LOW_FIBER,HIGH_SODIUM"
0.5,13.3,0.2,0.0,63.1,233.8,0,1,0,2,BEVERAGES,24,"PRESERVATIVES,LOW_FIBER"
9.5,7.1,8.0,12.9,361.5,284.3,0,1,0,0,BREAKFAST_CEREAL,77,PRESERVATIVES
1.8,26.8,25.4,0.1,302.6,1124.6,0,1,0,2,SAUCES_SPREADS,6,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM"
4.1,10.4,26.0,1.6,554.8,781.3,1,1,1,6,SNACKS,0,"HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
3.3,63.7,38.7,0.1,521.6,106.5,1,1,0,2,CHOCOLATES_CONFECTIONERY,8,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE"
2.9,18.4,16.4,0.5,229.8,609.4,0,1,0,1,SAUCES_SPREADS,33,"PRESERVATIVES,LOW_FIBER"
5.0,56.1,37.7,1.9,571.0,87.1,1,0,1,2,CHOCOLATES_CONFECTIONERY,2,"HIGH_SUGAR,HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,LOW_FIBER,HIGH_CALORIE"
6.4,7.3,16.9,1.3,480.3,580.1,1,1,1,2,SNACKS,18,"TRANS_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE"
9.4,5.6,11.1,1.1,298.0,686.1,1,0,0,2,FROZEN_FOODS,49,"ARTIFICIAL_SWEETENER,LOW_FIBER"
0.6,7.8,0.1,0.4,35.9,117.6,1,0,0,1,BEVERAGES,47,"ARTIFICIAL_SWEETENER,LOW_FIBER"
4.4,31.9,28.7,1.5,484.6,313.8,1,1,0,4,BISCUITS_COOKIES,0,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
63.2,1.5,2.9,2.8,351.3,136.4,0,0,0,0,HEALTH_SUPPLEMENTS,93,NONE
6.5,11.1,9.9,0.6,103.4,355.4,0,0,0,1,DAIRY_PRODUCTS,63,LOW_FIBER
3.6,52.1,38.9,0.3,539.8,98.2,0,1,0,3,CHOCOLATES_CONFECTIONERY,14,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
15.9,15.6,16.4,2.2,414.8,362.8,1,1,0,4,HEALTH_SUPPLEMENTS,24,"ARTIFICIAL_SWEETENER,PRESERVATIVES,MANY_RISKY_INGREDIENTS"
3.2,8.9,5.7,0.7,140.7,337.4,0,1,0,1,DAIRY_PRODUCTS,60,"PRESERVATIVES,LOW_FIBER"
3.4,22.4,16.3,2.7,472.0,272.3,0,0,0,1,BISCUITS_COOKIES,23,"HIGH_SUGAR,HIGH_CALORIE"
6.2,6.4,18.7,3.2,473.5,596.6,0,0,0,2,SNACKS,55,"HIGH_FAT,HIGH_CALORIE"
11.5,7.3,7.6,8.1,356.8,191.3,0,0,0,0,BREAKFAST_CEREAL,83,NONE
80.1,1.2,7.1,2.3,301.5,239.4,0,0,0,0,HEALTH_SUPPLEMENTS,89,NONE
7.8,5.9,4.5,1.6,62.9,84.2,0,0,0,0,DAIRY_PRODUCTS,80,LOW_FIBER
4.2,33.0,25.8,1.7,494.4,590.4,1,0,1,5,BISCUITS_COOKIES,0,"HIGH_SUGAR,HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
14.9,13.8,11.2,5.4,387.3,215.5,0,0,0,3,PROTEIN_BAR,50,MANY_RISKY_INGREDIENTS
9.0,14.5,9.8,8.6,393.8,341.5,0,0,0,1,BREAKFAST_CEREAL,70,NONE
3.5,11.8,27.4,0.4,306.6,1096.4,1,1,0,3,FROZEN_FOODS,18,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
3.8,32.5,33.1,2.3,506.2,85.9,1,0,0,2,CHOCOLATES_CONFECTIONERY,41,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,HIGH_CALORIE"
4.5,10.8,6.5,0.7,120.2,208.1,1,0,0,1,DAIRY_PRODUCTS,51,"ARTIFICIAL_SWEETENER,LOW_FIBER"
3.9,47.3,39.4,1.3,540.1,70.9,1,1,0,4,CHOCOLATES_CONFECTIONERY,11,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
34.6,7.2,6.7,4.0,352.3,371.0,1,1,0,0,HEALTH_SUPPLEMENTS,68,"ARTIFICIAL_SWEETENER,PRESERVATIVES"
0.1,15.1,0.1,0.0,59.9,80.0,0,1,0,3,BEVERAGES,27,"PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
50.8,8.8,6.8,2.4,362.7,472.5,1,0,0,2,HEALTH_SUPPLEMENTS,65,ARTIFICIAL_SWEETENER
0.3,28.8,24.1,0.3,282.2,1410.5,1,1,0,2,SAUCES_SPREADS,0,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM"
6.1,10.2,5.3,0.1,96.3,360.1,1,0,0,0,DAIRY_PRODUCTS,57,"ARTIFICIAL_SWEETENER,LOW_FIBER"
3.9,42.6,28.3,1.6,491.4,110.8,0,1,0,2,CHOCOLATES_CONFECTIONERY,31,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE"
3.8,6.1,27.4,1.7,573.8,932.9,0,1,0,5,SNACKS,23,"HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
4.0,10.6,19.7,0.1,331.1,1112.2,0,1,0,3,FROZEN_FOODS,31,"HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
0.2,12.8,0.0,0.0,66.5,307.0,0,1,0,2,ENERGY_DRINKS,24,"PRESERVATIVES,LOW_FIBER"
0.8,6.7,0.0,0.0,36.7,225.0,0,1,0,1,ENERGY_DRINKS,45,"PRESERVATIVES,LOW_FIBER"
13.0,8.7,5.2,11.4,364.9,291.3,0,0,0,0,BREAKFAST_CEREAL,86,NONE
4.8,18.7,12.2,0.3,172.7,307.6,0,1,0,2,DAIRY_PRODUCTS,41,"PRESERVATIVES,LOW_FIBER"
5.9,4.7,12.1,1.3,426.0,753.6,0,0,0,2,INSTANT_NOODLES_RTE,60,LOW_FIBER
4.9,24.4,11.1,0.2,165.9,326.1,1,1,0,2,DAIRY_PRODUCTS,23,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
4.7,23.9,20.7,2.0,443.0,344.9,0,0,0,2,BISCUITS_COOKIES,21,"HIGH_SUGAR,HIGH_FAT"
6.2,5.8,16.6,1.4,430.8,846.2,1,1,0,3,INSTANT_NOODLES_RTE,33,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
28.1,5.8,6.8,6.4,366.8,395.3,0,0,0,0,PROTEIN_BAR,85,NONE
8.1,11.4,2.7,12.0,358.2,238.5,0,0,0,0,BREAKFAST_CEREAL,80,NONE
0.2,22.1,21.2,0.1,367.9,975.5,1,1,0,2,SAUCES_SPREADS,3,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM"
2.5,14.2,11.5,1.0,202.1,536.1,1,0,0,1,SAUCES_SPREADS,45,"ARTIFICIAL_SWEETENER,LOW_FIBER"
6.7,12.3,8.1,0.9,113.8,388.5,0,0,0,1,DAIRY_PRODUCTS,63,LOW_FIBER
3.8,8.9,20.8,3.9,449.3,605.8,0,0,0,1,SNACKS,50,HIGH_FAT
4.8,5.3,18.5,0.2,430.2,1774.2,0,0,0,5,INSTANT_NOODLES_RTE,28,"HIGH_FAT,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
26.9,21.0,14.2,0.3,476.7,527.5,1,1,0,3,HEALTH_SUPPLEMENTS,31,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
8.4,3.7,5.0,1.9,52.0,191.1,0,0,0,0,DAIRY_PRODUCTS,91,LOW_FIBER
0.3,12.4,0.0,0.0,52.8,224.1,1,0,0,3,ENERGY_DRINKS,19,"ARTIFICIAL_SWEETENER,LOW_FIBER,MANY_RISKY_INGREDIENTS"
22.1,23.2,16.8,1.0,466.3,311.1,1,0,0,3,HEALTH_SUPPLEMENTS,16,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
3.0,35.9,22.5,0.6,517.8,537.2,0,1,1,3,BISCUITS_COOKIES,0,"HIGH_SUGAR,HIGH_FAT,TRANS_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
5.1,7.5,10.2,3.6,277.6,781.7,1,1,0,2,FROZEN_FOODS,49,"ARTIFICIAL_SWEETENER,PRESERVATIVES"
16.8,14.3,17.0,7.9,403.8,325.3,0,1,0,2,PROTEIN_BAR,51,PRESERVATIVES
7.1,3.7,1.2,0.0,99.4,135.6,0,0,0,0,DAIRY_PRODUCTS,87,LOW_FIBER
13.2,17.6,16.4,4.3,391.2,494.7,1,1,1,1,PROTEIN_BAR,14,"TRANS_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES"
3.2,5.0,23.9,0.5,488.1,1096.3,0,1,0,4,INSTANT_NOODLES_RTE,22,"HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
4.4,34.4,23.7,1.0,521.8,457.5,0,1,0,2,BISCUITS_COOKIES,6,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE"
3.4,21.2,16.0,0.0,211.6,558.0,1,1,0,2,DAIRY_PRODUCTS,28,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
13.1,1.1,6.6,6.7,358.8,456.3,0,0,0,1,INSTANT_NOODLES_RTE,90,NONE
3.2,11.2,9.8,0.1,143.7,397.9,0,1,0,1,DAIRY_PRODUCTS,54,"PRESERVATIVES,LOW_FIBER"
3.0,35.2,26.5,0.5,541.5,539.2,1,1,1,2,BISCUITS_COOKIES,0,"HIGH_SUGAR,HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE"
83.3,1.4,6.2,3.1,370.5,292.3,0,0,0,0,HEALTH_SUPPLEMENTS,88,NONE
13.0,1.4,6.7,6.0,312.9,563.6,0,1,0,0,INSTANT_NOODLES_RTE,92,PRESERVATIVES
10.0,3.9,9.9,5.5,176.0,408.5,0,0,0,0,FROZEN_FOODS,86,NONE
0.0,1.3,0.4,0.4,8.6,76.6,0,0,0,0,BEVERAGES,75,LOW_FIBER
0.3,10.4,0.2,0.0,41.7,166.4,0,1,0,4,BEVERAGES,30,"PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
5.9,39.5,13.2,1.5,437.9,407.4,0,0,0,4,BREAKFAST_CEREAL,26,"HIGH_SUGAR,LOW_FIBER,MANY_RISKY_INGREDIENTS"
43.4,6.9,12.0,2.7,381.6,249.1,1,1,0,1,HEALTH_SUPPLEMENTS,58,"ARTIFICIAL_SWEETENER,PRESERVATIVES"
2.8,14.5,24.0,0.9,575.5,909.9,1,1,0,5,SNACKS,9,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
82.4,1.9,3.3,2.2,352.1,173.7,0,0,0,0,HEALTH_SUPPLEMENTS,93,NONE
9.8,4.7,16.9,3.3,299.4,753.4,1,1,0,1,FROZEN_FOODS,57,"ARTIFICIAL_SWEETENER,PRESERVATIVES"
3.8,23.0,13.9,0.1,150.0,505.7,1,0,0,4,DAIRY_PRODUCTS,24,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,LOW_FIBER,MANY_RISKY_INGREDIENTS"
0.3,9.0,0.3,0.2,25.2,60.9,0,0,0,2,BEVERAGES,39,LOW_FIBER
1.4,2.6,0.4,0.0,14.6,15.0,0,0,0,0,BEVERAGES,68,LOW_FIBER
28.6,2.1,8.4,7.1,327.7,332.7,0,1,0,0,PROTEIN_BAR,92,PRESERVATIVES
9.4,12.8,10.8,6.1,382.9,493.2,0,1,0,1,BREAKFAST_CEREAL,61,PRESERVATIVES
0.5,10.6,0.0,0.0,67.4,319.0,1,1,0,2,ENERGY_DRINKS,16,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
5.8,34.4,13.5,3.4,424.2,598.2,1,1,0,4,BREAKFAST_CEREAL,22,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,PRESERVATIVES,MANY_RISKY_INGREDIENTS"
5.8,8.1,13.1,6.0,412.5,295.9,0,0,0,0,BISCUITS_COOKIES,70,NONE
1.9,17.4,16.7,0.4,185.2,564.7,0,1,0,1,SAUCES_SPREADS,36,"PRESERVATIVES,LOW_FIBER"
4.0,17.0,15.4,0.0,142.5,377.3,1,1,0,2,DAIRY_PRODUCTS,28,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER"
4.4,10.2,9.9,0.0,142.0,294.7,0,1,0,1,DAIRY_PRODUCTS,54,"PRESERVATIVES,LOW_FIBER"
4.6,39.9,10.0,2.4,419.2,539.7,1,0,0,3,BREAKFAST_CEREAL,25,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,MANY_RISKY_INGREDIENTS"
0.2,12.6,0.0,0.0,55.3,213.8,1,0,0,2,ENERGY_DRINKS,21,"ARTIFICIAL_SWEETENER,LOW_FIBER"
5.7,8.6,8.3,0.3,113.9,364.5,0,0,0,0,DAIRY_PRODUCTS,71,LOW_FIBER
0.2,5.4,0.0,0.0,29.2,204.0,0,1,0,1,ENERGY_DRINKS,45,"PRESERVATIVES,LOW_FIBER"
6.1,40.6,26.7,1.3,481.8,123.6,1,0,0,1,CHOCOLATES_CONFECTIONERY,34,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,LOW_FIBER,HIGH_CALORIE"
3.8,23.7,11.6,0.1,161.6,317.1,1,1,0,4,DAIRY_PRODUCTS,19,"HIGH_SUGAR,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
6.7,18.2,18.6,1.1,437.4,496.7,1,0,1,2,BISCUITS_COOKIES,12,"HIGH_FAT,TRANS_FAT,ARTIFICIAL_SWEETENER,LOW_FIBER"
3.8,5.6,20.4,1.1,438.8,1106.2,0,1,1,4,INSTANT_NOODLES_RTE,5,"HIGH_FAT,TRANS_FAT,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
10.0,19.4,23.7,2.7,461.6,88.7,0,0,0,1,CHOCOLATES_CONFECTIONERY,66,"HIGH_FAT,HIGH_CALORIE"
44.9,9.3,11.1,3.3,352.1,479.3,1,1,0,2,HEALTH_SUPPLEMENTS,60,"ARTIFICIAL_SWEETENER,PRESERVATIVES"
3.7,52.0,31.6,1.2,539.1,180.0,1,1,0,4,CHOCOLATES_CONFECTIONERY,12,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
11.9,3.3,9.6,4.8,372.1,575.6,0,0,0,0,INSTANT_NOODLES_RTE,84,NONE
67.4,3.6,4.0,5.8,348.8,212.7,0,0,0,0,HEALTH_SUPPLEMENTS,97,NONE
4.8,17.4,17.6,1.7,433.7,400.9,1,1,0,3,BISCUITS_COOKIES,16,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
3.6,54.6,30.3,0.7,542.8,109.8,1,1,0,4,CHOCOLATES_CONFECTIONERY,12,"HIGH_SUGAR,HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
0.4,13.1,0.4,0.0,62.4,64.3,1,1,0,4,BEVERAGES,17,"ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
3.1,6.0,28.3,0.5,522.8,853.6,1,1,0,6,SNACKS,13,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
9.9,20.2,8.7,4.7,404.4,439.9,0,0,0,0,BREAKFAST_CEREAL,61,HIGH_SUGAR
0.8,21.3,27.8,0.2,343.2,878.6,0,1,0,2,SAUCES_SPREADS,26,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM"
3.4,4.5,7.0,1.8,103.0,271.1,0,1,0,1,SAUCES_SPREADS,70,"PRESERVATIVES,LOW_FIBER"
3.3,21.7,10.8,0.3,176.1,476.0,0,1,1,4,DAIRY_PRODUCTS,22,"HIGH_SUGAR,TRANS_FAT,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
6.1,21.4,21.1,4.2,433.9,57.4,0,0,0,0,CHOCOLATES_CONFECTIONERY,66,"HIGH_SUGAR,HIGH_FAT"
9.0,2.5,16.2,2.2,400.0,915.3,0,1,0,3,INSTANT_NOODLES_RTE,57,"PRESERVATIVES,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
3.7,7.7,23.0,0.2,571.5,795.9,0,1,0,6,SNACKS,21,"HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
11.7,19.5,21.4,2.1,459.3,572.1,0,1,0,3,PROTEIN_BAR,19,"HIGH_FAT,PRESERVATIVES,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
0.4,10.0,0.0,0.0,36.2,166.7,1,0,0,1,ENERGY_DRINKS,33,"ARTIFICIAL_SWEETENER,LOW_FIBER"
6.6,3.7,16.9,1.0,391.1,994.4,0,1,0,3,INSTANT_NOODLES_RTE,48,"PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
10.2,5.3,2.0,1.3,54.6,101.4,0,0,0,0,DAIRY_PRODUCTS,84,LOW_FIBER
2.4,23.3,16.3,0.4,142.9,390.9,0,1,0,4,DAIRY_PRODUCTS,22,"HIGH_SUGAR,PRESERVATIVES,LOW_FIBER,MANY_RISKY_INGREDIENTS"
3.9,5.0,21.1,1.2,466.1,1735.5,0,1,1,4,INSTANT_NOODLES_RTE,7,"HIGH_FAT,TRANS_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
3.5,12.5,21.8,1.8,386.8,1122.4,1,1,0,3,FROZEN_FOODS,13,"HIGH_FAT,ARTIFICIAL_SWEETENER,PRESERVATIVES,LOW_FIBER,HIGH_SODIUM,MANY_RISKY_INGREDIENTS"
8.5,7.4,14.8,6.2,421.1,226.5,0,0,0,1,BISCUITS_COOKIES,72,NONE
9.9,31.3,22.6,1.7,450.3,459.5,0,1,0,3,PROTEIN_BAR,0,"HIGH_SUGAR,HIGH_FAT,PRESERVATIVES,LOW_FIBER,HIGH_CALORIE,MANY_RISKY_INGREDIENTS"
